method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,CV_SW2,CV_MMD2_biased,CV_MMD2_unbiased,latent_z1_KS,CV_KDE_Hellinger,basin_outside_mass,basin_JS,basin_TV,tamed,tame_cap,boundary_rule,gamma,integrator,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,0,100,0.5,320000.0,100.0,100.0,0.0,0.7148323111287349,0.49704190834157047,0.49653067652647653,0.75375,0.5114769015524733,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,1,100,0.5,320000.0,100.0,100.0,0.0,0.7184395910250869,0.5009165104809945,0.5004064946488637,0.7525000000000001,0.5105984778858399,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,2,100,0.5,320000.0,100.0,100.0,0.0,0.7170093420417535,0.5008787776816833,0.5003659975684024,0.75125,0.5133293715189553,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,3,100,0.5,320000.0,100.0,100.0,0.0,0.7193010667093552,0.5025765378011201,0.5020658307748284,0.75375,0.5101525131684022,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,0,108,0.54,345600.0,108.0,108.0,0.0,0.7129264326420642,0.49475817085742313,0.49424612922550226,0.7525000000000001,0.5104405348280282,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,1,108,0.54,345600.0,108.0,108.0,0.0,0.717215007441274,0.4995952728154529,0.4990844475948223,0.7512500000000001,0.5099969987137061,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,2,108,0.54,345600.0,108.0,108.0,0.0,0.7152878619879279,0.4990279828184827,0.49851413641649645,0.75,0.5128887287697013,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,3,108,0.54,345600.0,108.0,108.0,0.0,0.7173981458312852,0.5005103878512883,0.4999989130182554,0.7525000000000001,0.5099199014412852,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,0,117,0.585,374400.0,117.0,117.0,0.0,0.7111291955519605,0.4923920535246853,0.4918793986157145,0.7512500000000001,0.5086793573924262,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,c87203a12406cc5114b7ffa2d8877465,True,1,117,0.585,374400.0,117.0,117.0,0.0,0.7160503425156882,0.4982299163338778,0.49771833483730976,0.7512500000000001,0.5091702151441373,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.0,BAOAB,0.0,0.0
