epsilon,method,metric,median_mixing_time,q10_mixing_time,q90_mixing_time,n_points,n_censored,censoring_fraction,maximum_censoring_time,threshold,bias_floor,N_particles
0.06,LSC-CP,well_TV,1.94,1.92,1.972,8,0,0.0,16.0,0.075,0.012899999999999991,6000
0.06,Langevin,CDF_sup,354.9412897240073,344.0564235058044,359.6738402536607,8,0,0.0,946.5101059306861,0.06,0.017490000000000006,6000
0.06,Langevin,KDE_chi2,134.87769009512277,134.16780751567475,137.9538479393975,8,0,0.0,946.5101059306861,0.2620885522530018,0.0873628507510006,6000
0.06,Langevin,W1,390.435418696408,381.20694516358384,404.869697811851,8,0,0.0,946.5101059306861,0.08548274520932865,0.02849424840310955,6000
0.06,Langevin,bin_chi2_M120,172.73809433235022,170.60844659400618,178.18052744145166,8,0,0.0,946.5101059306861,0.14,0.02510953333333333,6000
0.06,Langevin,bin_chi2_M40,238.99380174749822,232.8414860589488,245.1461174360477,8,0,0.0,946.5101059306861,0.06,0.011156177777777776,6000
0.06,Langevin,bin_chi2_M80,199.95025987785743,193.3246891363426,206.57583061937223,8,0,0.0,946.5101059306861,0.1,0.0174588,6000
0.06,Langevin,well_TV,307.615784427473,303.8297440037502,313.7681001160224,8,0,0.0,946.5101059306861,0.075,0.012899999999999991,6000
0.07,LSC-CP,CDF_sup,2.12,2.044,2.16,8,0,0.0,16.0,0.06239125000000005,0.02079708333333335,6000
0.07,LSC-CP,KDE_chi2,1.02,0.988,1.052,8,0,0.0,16.0,0.1852639809507583,0.06175466031691944,6000
0.07,LSC-CP,W1,2.38,2.24,2.436,8,0,0.0,16.0,0.08647219921753055,0.028824066405843514,6000
0.07,LSC-CP,bin_chi2_M120,1.12,1.08,1.16,8,0,0.0,16.0,0.14,0.02542639999999999,6000
0.07,LSC-CP,bin_chi2_M40,1.52,1.468,1.532,8,0,0.0,16.0,0.06,0.01081677777777777,6000
0.07,LSC-CP,bin_chi2_M80,1.28,1.24,1.32,8,0,0.0,16.0,0.1,0.01861711111111111,6000
0.07,LSC-CP,well_TV,1.96,1.908,2.092,8,0,0.0,16.0,0.075,0.014055000000000043,6000
0.07,Langevin,CDF_sup,188.85499201594695,186.4860792241093,197.27779305359198,8,0,0.0,526.4250648528139,0.06239125000000005,0.02079708333333335,6000
0.07,Langevin,KDE_chi2,90.80832368711039,90.41350488847078,94.7565116735065,8,0,0.0,526.4250648528139,0.1852639809507583,0.06175466031691944,6000
0.07,Langevin,W1,219.12443324498378,211.62287607083115,226.75759668534954,8,0,0.0,526.4250648528139,0.08647219921753055,0.028824066405843514,6000
