epsilon,method,metric,estimator,seed,observed_mixing_time,censored,accepted,acceptance_reason,n_fit,window_start,window_end,window_initial_value,window_final_value,slope_log_chi2,slope_standard_error,lambda_eff,log_R2,residual_RMSE_log,predicted_threshold_time,noise_cutoff,upper_window_cutoff,predicted_to_observed_ratio
0.04,Langevin,bin_chi2_M120,seed,4,1860.0,False,True,accepted,105,240.0,1800.0,0.7671000000000001,0.14643333333333336,-0.0010753638169953277,9.502711875739497e-06,0.0005376819084976638,0.99202111100526,0.04384664944532356,1821.7667671845584,0.047837733333333333,0.8,
0.04,Langevin,bin_chi2_M120,seed,5,1935.0,False,True,accepted,106,225.0,1800.0,0.7997733333333334,0.14583333333333331,-0.0010813552627727556,7.619988927027002e-06,0.0005406776313863778,0.9948623064063056,0.03566631035359987,1836.5757619843748,0.047837733333333333,0.8,
0.04,Langevin,bin_chi2_M120,seed,6,1830.0,False,True,accepted,106,210.0,1785.0,0.7851933333333334,0.15408,-0.0010801189731582627,8.502849867999711e-06,0.0005400594865791313,0.9935963269702387,0.03979865130860036,1806.3866872084548,0.047837733333333333,0.8,
0.04,Langevin,bin_chi2_M120,seed,7,1845.0,False,True,accepted,103,240.0,1770.0,0.7823000000000002,0.14476666666666665,-0.0010731361462059932,9.381285161700516e-06,0.0005365680731029966,0.9923405577955775,0.042047522903924966,1843.3341921850192,0.047837733333333333,0.8,
0.04,Langevin,bin_chi2_M40,seed,0,2550.0,False,True,accepted,153,210.0,2490.0,0.764111111111111,0.06182888888888888,-0.0011131475607385356,6.927509153848668e-06,0.0005565737803692678,0.9941857564099188,0.056396009158308925,2495.742465332641,0.01899128888888888,0.8,
0.04,Langevin,bin_chi2_M40,seed,1,2550.0,False,True,accepted,145,210.0,2370.0,0.7824844444444444,0.07000666666666666,-0.0011212621318915838,6.941929573043214e-06,0.0005606310659457919,0.994548598819057,0.052120255027789254,2500.3917002511444,0.01899128888888888,0.8,
0.04,Langevin,bin_chi2_M40,seed,2,2580.0,False,True,accepted,149,225.0,2445.0,0.785731111111111,0.06635555555555556,-0.0011084799342470108,7.271327450827829e-06,0.0005542399671235054,0.9937143437433783,0.0568786779472215,2545.538238342242,0.01899128888888888,0.8,
0.04,Langevin,bin_chi2_M40,seed,3,2550.0,False,True,accepted,148,195.0,2400.0,0.7976555555555556,0.07725333333333334,-0.001112502045934629,7.117114573065841e-06,0.0005562510229673145,0.9940602000332905,0.055110306039936906,2520.687684673735,0.01899128888888888,0.8,
0.04,Langevin,bin_chi2_M40,seed,4,2580.0,False,True,accepted,151,210.0,2460.0,0.7979022222222222,0.07003555555555556,-0.001104822907613875,7.30270529266301e-06,0.0005524114538069375,0.9935322911171869,0.05828341203735698,2552.132373744415,0.01899128888888888,0.8,
0.04,Langevin,bin_chi2_M40,seed,5,2610.0,False,True,accepted,155,210.0,2520.0,0.7849244444444444,0.0637622222222222,-0.0011005457191190305,6.466354940029858e-06,0.0005502728595595152,0.9947458018511667,0.05368198303915357,2546.3344722025236,0.01899128888888888,0.8,
