method,quantity,metric,estimator,epsilon_subset,preferred_AIC,preferred_BIC,preferred_LOO,selected_family,arrhenius_votes,polynomial_votes,delta_AIC_poly_minus_arr,delta_BIC_poly_minus_arr,delta_LOO_poly_minus_arr
Langevin,mixing_time,bin_chi2_M80,particle_threshold,reliable_rate_window_only,arrhenius,arrhenius,arrhenius,arrhenius,3,0,556.213541099512,556.213541099512,1.8786866421462598
Langevin,chi2_effective_rate,bin_chi2_M120,seed_mean_window,all,arrhenius,arrhenius,arrhenius,arrhenius,3,0,67.94073423575487,67.94073423575489,0.2951353501884812
Langevin,chi2_effective_rate,bin_chi2_M120,seed_mean_window,exclude_largest_2,arrhenius,arrhenius,arrhenius,arrhenius,3,0,67.26220213751387,67.26220213751387,0.24687720301462351
Langevin,chi2_effective_rate,bin_chi2_M120,seed_mean_window,lowest_12,arrhenius,arrhenius,arrhenius,arrhenius,3,0,36.69738337721752,36.69738337721752,0.1298459234352907
Langevin,chi2_effective_rate,bin_chi2_M120,seed_mean_window,lowest_10,arrhenius,arrhenius,arrhenius,arrhenius,3,0,25.53822883619577,25.538228836195774,0.09782249954288647
Langevin,chi2_effective_rate,bin_chi2_M120,seed_mean_window,lowest_8,arrhenius,arrhenius,arrhenius,arrhenius,3,0,17.068748677948715,17.068748677948715,0.08366751666742145
Langevin,chi2_effective_rate,bin_chi2_M120,seed_mean_window,uncensored_only,arrhenius,arrhenius,arrhenius,arrhenius,3,0,67.94073423575487,67.94073423575489,0.2951353501884812
Langevin,chi2_effective_rate,bin_chi2_M120,seed_mean_window,reliable_rate_window_only,arrhenius,arrhenius,arrhenius,arrhenius,3,0,67.94073423575487,67.94073423575489,0.2951353501884812
Langevin,mixing_time,bin_chi2_M120,particle_threshold,all,arrhenius,arrhenius,arrhenius,arrhenius,3,0,562.7645952489394,562.7645952489394,1.891356248626804
Langevin,mixing_time,bin_chi2_M120,particle_threshold,exclude_largest_2,arrhenius,arrhenius,arrhenius,arrhenius,3,0,538.2231958240335,538.2231958240335,1.8762897376158727
