epsilon,replicate,metric,bias_floor_value,N_particles,KDE_bandwidth
0.26,3,CDF_sup,0.01496468761039138,2400,0.06129791897257511
0.26,4,truncated_KDE_chi2,0.0032082864407149336,2400,0.06129791897257511
0.26,4,well_TV,0.009999999999999898,2400,0.06129791897257511
0.26,4,W1,0.024144949529809293,2400,0.06129791897257511
0.26,4,CDF_sup,0.017087346901394185,2400,0.06129791897257511
0.26,5,truncated_KDE_chi2,0.005720274261607555,2400,0.06129791897257511
0.26,5,well_TV,0.006666666666666765,2400,0.06129791897257511
0.26,5,W1,0.016865309126873836,2400,0.06129791897257511
0.26,5,CDF_sup,0.016578188335348742,2400,0.06129791897257511
0.26,6,truncated_KDE_chi2,0.006810850898710858,2400,0.06129791897257511
0.26,6,well_TV,0.022083333333333233,2400,0.06129791897257511
0.26,6,W1,0.027113441677943426,2400,0.06129791897257511
0.26,6,CDF_sup,0.02307783754817605,2400,0.06129791897257511
0.26,7,truncated_KDE_chi2,0.004745338198800154,2400,0.06129791897257511
0.26,7,well_TV,0.0037500000000000866,2400,0.06129791897257511
0.26,7,W1,0.015116869813808283,2400,0.06129791897257511
0.26,7,CDF_sup,0.01324454753110138,2400,0.06129791897257511
0.26,8,truncated_KDE_chi2,0.006258386811232487,2400,0.06129791897257511
0.26,8,well_TV,0.017916666666666803,2400,0.06129791897257511
0.26,8,W1,0.021870519263960123,2400,0.06129791897257511
0.26,8,CDF_sup,0.0190766883037789,2400,0.06129791897257511
0.26,9,truncated_KDE_chi2,0.004787366695399153,2400,0.06129791897257511
0.26,9,well_TV,0.005833333333333246,2400,0.06129791897257511
0.26,9,W1,0.023883919103362135,2400,0.06129791897257511
0.26,9,CDF_sup,0.017132458374859105,2400,0.06129791897257511
0.26,10,truncated_KDE_chi2,0.0070810618788398755,2400,0.06129791897257511
0.26,10,well_TV,0.007083333333333219,2400,0.06129791897257511
0.26,10,W1,0.026808560148017906,2400,0.06129791897257511
0.26,10,CDF_sup,0.019497787078043727,2400,0.06129791897257511
0.26,11,truncated_KDE_chi2,0.003356264270477195,2400,0.06129791897257511
0.26,11,well_TV,0.00749999999999984,2400,0.06129791897257511
0.26,11,W1,0.023355504519244435,2400,0.06129791897257511
0.26,11,CDF_sup,0.015463563278355408,2400,0.06129791897257511
0.26,12,truncated_KDE_chi2,0.0069014609381210295,2400,0.06129791897257511
0.26,12,well_TV,0.013749999999999929,2400,0.06129791897257511
0.26,12,W1,0.03078641042157398,2400,0.06129791897257511
0.26,12,CDF_sup,0.026241141841963023,2400,0.06129791897257511
0.26,13,truncated_KDE_chi2,0.004498891080136066,2400,0.06129791897257511
0.26,13,well_TV,0.008749999999999925,2400,0.06129791897257511
0.26,13,W1,0.01533828262518306,2400,0.06129791897257511
0.26,13,CDF_sup,0.01225170381931201,2400,0.06129791897257511
