epsilon,replicate,metric,bias_floor_value,N_particles
0.4,18,well_TV,0.0020000000000000018,6000
0.4,18,CDF_sup,0.009791666666666657,6000
0.4,18,W1,0.007899354215652327,6000
0.4,18,bin_chi2_M40,0.005611111111111112,6000
0.4,18,bin_chi2_M80,0.013782222222222223,6000
0.4,18,bin_chi2_M120,0.017913333333333337,6000
0.4,19,KDE_chi2,0.0014278653037972859,6000
0.4,19,well_TV,0.0003333333333332966,6000
0.4,19,CDF_sup,0.012416666666666656,6000
0.4,19,W1,0.011747949104564165,6000
0.4,19,bin_chi2_M40,0.00580888888888889,6000
0.4,19,bin_chi2_M80,0.012408888888888888,6000
0.4,19,bin_chi2_M120,0.02050666666666667,6000
0.4,20,KDE_chi2,0.005482529407700061,6000
0.4,20,well_TV,0.019333333333333313,6000
0.4,20,CDF_sup,0.02795833333333335,6000
0.4,20,W1,0.04572812087986616,6000
0.4,20,bin_chi2_M40,0.005286666666666666,6000
0.4,20,bin_chi2_M80,0.011102222222222222,6000
0.4,20,bin_chi2_M120,0.021180000000000004,6000
0.4,21,KDE_chi2,0.002996383797096595,6000
0.4,21,well_TV,0.01150000000000001,6000
0.4,21,CDF_sup,0.01150000000000002,6000
0.4,21,W1,0.013208507446325528,6000
0.4,21,bin_chi2_M40,0.003608888888888888,6000
0.4,21,bin_chi2_M80,0.010746666666666665,6000
0.4,21,bin_chi2_M120,0.023306666666666667,6000
0.4,22,KDE_chi2,0.0022768031083537383,6000
0.4,22,well_TV,0.000500000000000056,6000
0.4,22,CDF_sup,0.009499999999999991,6000
0.4,22,W1,0.008177705972273082,6000
0.4,22,bin_chi2_M40,0.006682222222222221,6000
0.4,22,bin_chi2_M80,0.015951111111111107,6000
0.4,22,bin_chi2_M120,0.0199,6000
0.4,23,KDE_chi2,0.002263980234355602,6000
0.4,23,well_TV,0.007000000000000062,6000
0.4,23,CDF_sup,0.009333333333333365,6000
0.4,23,W1,0.01035765789368548,6000
0.4,23,bin_chi2_M40,0.006315555555555555,6000
0.4,23,bin_chi2_M80,0.013524444444444447,6000
0.4,23,bin_chi2_M120,0.020373333333333334,6000
0.4,24,KDE_chi2,0.002382302942250318,6000
0.4,24,well_TV,0.005833333333333357,6000
0.4,24,CDF_sup,0.007541666666666697,6000
0.4,24,W1,0.008525291593572164,6000
0.4,24,bin_chi2_M40,0.004928888888888887,6000
0.4,24,bin_chi2_M80,0.016422222222222223,6000
0.4,24,bin_chi2_M120,0.01998,6000
0.4,25,KDE_chi2,0.002894022747930358,6000
0.4,25,well_TV,0.0018333333333333535,6000
0.4,25,CDF_sup,0.006999999999999977,6000
0.4,25,W1,0.009764325097793045,6000
0.4,25,bin_chi2_M40,0.005033333333333332,6000
0.4,25,bin_chi2_M80,0.012559999999999998,6000
0.4,25,bin_chi2_M120,0.022553333333333335,6000
0.4,26,KDE_chi2,0.002332460444855354,6000
0.4,26,well_TV,0.006833333333333358,6000
0.4,26,CDF_sup,0.012166666666666655,6000
0.4,26,W1,0.01901168378975934,6000
0.4,26,bin_chi2_M40,0.007240000000000002,6000
0.4,26,bin_chi2_M80,0.012759999999999997,6000
0.4,26,bin_chi2_M120,0.01998,6000
0.4,27,KDE_chi2,0.004478337256790368,6000
0.4,27,well_TV,0.006666666666666599,6000
0.4,27,CDF_sup,0.009416666666666636,6000
0.4,27,W1,0.015134347896610438,6000
0.4,27,bin_chi2_M40,0.0060688888888888876,6000
0.4,27,bin_chi2_M80,0.016395555555555556,6000
0.4,27,bin_chi2_M120,0.01766,6000
0.4,28,KDE_chi2,0.001798839764577341,6000
0.4,28,well_TV,0.0003333333333332966,6000
0.4,28,CDF_sup,0.009791666666666655,6000
0.4,28,W1,0.007893288526723208,6000
0.4,28,bin_chi2_M40,0.006562222222222222,6000
0.4,28,bin_chi2_M80,0.013555555555555557,6000
0.4,28,bin_chi2_M120,0.017786666666666666,6000
0.4,29,KDE_chi2,0.00478771171740581,6000
0.4,29,well_TV,0.0034999999999999476,6000
0.4,29,CDF_sup,0.0107083333333333,6000
0.4,29,W1,0.012930494658369502,6000
0.4,29,bin_chi2_M40,0.006862222222222223,6000
0.4,29,bin_chi2_M80,0.015364444444444443,6000
0.4,29,bin_chi2_M120,0.019479999999999997,6000
0.4,30,KDE_chi2,0.004336648521550567,6000
0.4,30,well_TV,0.0044999999999999485,6000
0.4,30,CDF_sup,0.00820833333333335,6000
0.4,30,W1,0.01183675659226662,6000
0.4,30,bin_chi2_M40,0.005713333333333334,6000
0.4,30,bin_chi2_M80,0.013706666666666667,6000
0.4,30,bin_chi2_M120,0.01814,6000
0.4,31,KDE_chi2,0.0035113997377092037,6000
0.4,31,well_TV,0.01316666666666666,6000
0.4,31,CDF_sup,0.01625000000000002,6000
0.4,31,W1,0.02518056875165401,6000
0.4,31,bin_chi2_M40,0.009166666666666665,6000
0.4,31,bin_chi2_M80,0.010626666666666666,6000
