epsilon,replicate,metric,bias_floor_value,N_particles
0.35,0,KDE_chi2,0.004186900444449051,6000
0.35,0,well_TV,0.018833333333333313,6000
0.35,0,CDF_sup,0.01883333333333335,6000
0.35,0,W1,0.02613416675885922,6000
0.35,0,bin_chi2_M40,0.005082222222222222,6000
0.35,0,bin_chi2_M80,0.014097777777777777,6000
0.35,0,bin_chi2_M120,0.01630666666666667,6000
0.35,1,KDE_chi2,0.004852603477517892,6000
0.35,1,well_TV,0.004166666666666652,6000
0.35,1,CDF_sup,0.012416666666666682,6000
0.35,1,W1,0.013439890478385204,6000
0.35,1,bin_chi2_M40,0.00755333333333333,6000
0.35,1,bin_chi2_M80,0.011808888888888886,6000
0.35,1,bin_chi2_M120,0.019339999999999996,6000
0.35,2,KDE_chi2,0.003370214320875812,6000
0.35,2,well_TV,0.010333333333333306,6000
0.35,2,CDF_sup,0.01137499999999998,6000
0.35,2,W1,0.014408180328855782,6000
0.35,2,bin_chi2_M40,0.007857777777777776,6000
0.35,2,bin_chi2_M80,0.011835555555555554,6000
0.35,2,bin_chi2_M120,0.019166666666666665,6000
0.35,3,KDE_chi2,0.004517676151787553,6000
0.35,3,well_TV,0.008333333333333304,6000
0.35,3,CDF_sup,0.00958333333333335,6000
0.35,3,W1,0.012892046783513827,6000
0.35,3,bin_chi2_M40,0.006577777777777778,6000
0.35,3,bin_chi2_M80,0.010866666666666667,6000
0.35,3,bin_chi2_M120,0.018486666666666665,6000
0.35,4,KDE_chi2,0.002845848454727704,6000
0.35,4,well_TV,0.013666666666666716,6000
0.35,4,CDF_sup,0.017291666666666688,6000
0.35,4,W1,0.029804928633936228,6000
0.35,4,bin_chi2_M40,0.0072977777777777746,6000
0.35,4,bin_chi2_M80,0.012311111111111111,6000
0.35,4,bin_chi2_M120,0.01959333333333333,6000
0.35,5,KDE_chi2,0.004234697568665654,6000
0.35,5,well_TV,0.0018333333333333535,6000
0.35,5,CDF_sup,0.008708333333333313,6000
0.35,5,W1,0.010957989926385917,6000
0.35,5,bin_chi2_M40,0.009566666666666666,6000
0.35,5,bin_chi2_M80,0.01150222222222222,6000
0.35,5,bin_chi2_M120,0.016533333333333334,6000
0.35,6,KDE_chi2,0.0035908922133445226,6000
0.35,6,well_TV,0.0018333333333333535,6000
0.35,6,CDF_sup,0.007291666666666649,6000
0.35,6,W1,0.007078062587151952,6000
0.35,6,bin_chi2_M40,0.0055,6000
0.35,6,bin_chi2_M80,0.012911111111111113,6000
0.35,6,bin_chi2_M120,0.021413333333333333,6000
0.35,7,KDE_chi2,0.0018254924003632024,6000
0.35,7,well_TV,0.006500000000000061,6000
0.35,7,CDF_sup,0.01545833333333332,6000
0.35,7,W1,0.019557390353975967,6000
0.35,7,bin_chi2_M40,0.005044444444444445,6000
0.35,7,bin_chi2_M80,0.012382222222222222,6000
0.35,7,bin_chi2_M120,0.021066666666666664,6000
0.35,8,KDE_chi2,0.00293648722559562,6000
0.35,8,well_TV,0.005166666666666764,6000
0.35,8,CDF_sup,0.00866666666666666,6000
0.35,8,W1,0.00814722434770231,6000
0.35,8,bin_chi2_M40,0.005379999999999999,6000
0.35,8,bin_chi2_M80,0.015755555555555554,6000
0.35,8,bin_chi2_M120,0.01652666666666667,6000
0.35,9,KDE_chi2,0.0032806343127983,6000
0.35,9,well_TV,0.0019999999999999463,6000
0.35,9,CDF_sup,0.006541666666666697,6000
0.35,9,W1,0.005990138156474008,6000
0.35,9,bin_chi2_M40,0.003906666666666666,6000
0.35,9,bin_chi2_M80,0.009640000000000001,6000
0.35,9,bin_chi2_M120,0.018466666666666666,6000
0.35,10,KDE_chi2,0.003915236823529214,6000
0.35,10,well_TV,0.0071666666666666545,6000
0.35,10,CDF_sup,0.015624999999999986,6000
0.35,10,W1,0.02398490246422278,6000
0.35,10,bin_chi2_M40,0.004586666666666668,6000
0.35,10,bin_chi2_M80,0.01732444444444444,6000
0.35,10,bin_chi2_M120,0.020286666666666668,6000
0.35,11,KDE_chi2,0.00313097884253965,6000
0.35,11,well_TV,0.0010000000000000009,6000
0.35,11,CDF_sup,0.010208333333333342,6000
0.35,11,W1,0.008966072768573132,6000
0.35,11,bin_chi2_M40,0.01087111111111111,6000
0.35,11,bin_chi2_M80,0.015866666666666668,6000
0.35,11,bin_chi2_M120,0.021353333333333335,6000
0.35,12,KDE_chi2,0.0032129204949432316,6000
0.35,12,well_TV,0.010166666666666657,6000
0.35,12,CDF_sup,0.014291666666666637,6000
0.35,12,W1,0.0239278201808156,6000
0.35,12,bin_chi2_M40,0.008655555555555557,6000
0.35,12,bin_chi2_M80,0.010715555555555556,6000
0.35,12,bin_chi2_M120,0.02026666666666667,6000
