epsilon,method,selected_chi2_metric,lambda_form,lambda_abs,lambda_eff,lambda_mix,T_mix,chi2_window_start_time,chi2_window_end_time,chi2_window_initial_value,chi2_window_final_value,threshold,bias_floor,noise_cutoff,lambda_eff_over_lambda_abs,lambda_mix_over_lambda_abs,lambda_form_over_lambda_abs,lambda_mix_over_lambda_eff,log_factor,predicted_threshold_time_from_lambda_eff,observed_mixing_time,predicted_to_observed_ratio,rate_window_accepted,rate_window_R2,rate_window_n_points,plateau_excluded,floor_region_excluded,initial_transient_excluded,consistency_pass,failure_reason,n_censored,N_particles,slope_log_chi2,slope_standard_error,residual_RMSE_log,upper_window_cutoff
0.22,LSC-CP,bin_chi2_M80,1.2221401792749456,1.3314446069715749,1.2781796036708803,0.9098075970195916,1.12,0.28,1.08,0.7675005555555555,0.10122333333333333,0.1,0.01913386666666666,0.03826773333333332,0.959994578053196,0.6833236563171683,0.9179053885349037,0.7117994954751748,2.0379690173238854,1.0772154349321958,1.12,0.9617994954751747,True,0.9970907766804347,21,True,True,True,True,none,0,6000,-2.5563592073417607,0.03167862032667082,0.03344558263069407,0.8
0.22,Langevin,bin_chi2_M80,0.1558723898051948,0.15587238980362852,0.1482887653503762,0.11893594735114096,8.709047200150128,1.5397210519602433,8.372233220033824,0.793781111111111,0.10088277777777777,0.1,0.01913386666666666,0.03826773333333332,0.951347224079862,0.7630340915474453,1.0000000000100484,0.8020563599010317,2.0716375585513145,8.524867747518927,8.709047200150128,0.978851940011529,True,0.9990266321761732,72,True,True,True,True,none,0,6000,-0.2965775307007524,0.0011064688322294032,0.018514425965580034,0.8
0.26,LSC-CP,bin_chi2_M80,1.2782377256157744,1.3860898116556835,1.369990810930536,0.9425033969797516,1.06,0.28,1.0,0.7375083333333333,0.10410222222222221,0.1,0.019649911111111105,0.03929982222222221,0.9883853119835596,0.6799728192604864,0.9221896841510726,0.687963298337437,1.9981072015970736,1.0092410962376834,1.06,0.9521142417336635,True,0.9986102378918692,19,True,True,True,True,none,0,6000,-2.739981621861072,0.024791078200982752,0.02239445484104647,0.8
0.26,Langevin,bin_chi2_M80,0.19748376420539943,0.197483764208635,0.18620453491818695,0.14677678867238347,6.987916224670935,1.2912453893413685,6.760049391257753,0.7778222222222222,0.10313944444444444,0.1,0.019649911111111105,0.03929982222222221,0.9428852830730331,0.7432347122840878,0.999999999983616,0.7882557142707243,2.0513278059376914,6.79951028428334,6.987916224670935,0.9730383229663765,True,0.9984812153257396,73,True,True,True,True,none,0,6000,-0.3724090698363739,0.0017237299545887728,0.02324608120569821,0.8
0.3,LSC-CP,bin_chi2_M80,1.3297103781610566,1.4346019870150897,1.401867123339715,0.9867545516230469,1.0,0.28,0.96,0.7195883333333333,0.10370499999999999,0.1,0.01898391111111111,0.03796782222222222,0.9771819194650047,0.6878246095811854,0.9268845228129956,0.7038859355459228,1.9735091032460939,0.9838859355459229,1.0,0.9838859355459229,True,0.9982241605738846,18,True,True,True,True,none,0,6000,-2.80373424667943,0.02956410005369632,0.02454117114819722,0.8
0.3,Langevin,bin_chi2_M80,0.2380238020120756,0.23802380201178158,0.2252528639480678,0.1796654506501573,5.766230050942824,1.0713214302298144,5.608682781791381,0.7940566666666666,0.10130333333333333,0.1,0.01898391111111111,0.03796782222222222,0.9463459622282578,0.7548213629545515,1.0000000000012352,0.7976167206095071,2.071984641310244,5.670562933742821,5.766230050942824,0.9834090703362831,True,0.9990657935824855,73,True,True,True,True,none,0,6000,-0.4505057278961356,0.0016349162900833455,0.01829308917893495,0.8
0.35,LSC-CP,bin_chi2_M80,1.3881487006643618,1.4884726115848457,1.453412229644364,1.0309314697027714,1.0,0.24,0.96,0.78606,0.10192833333333333,0.1,0.017686222222222218,0.035372444444444436,0.976445396665276,0.6926103051403082,0.9325994243094172,0.7093180094920699,2.0618629394055428,0.9493180094920699,1.0,0.9493180094920699,True,0.99761197940346,19,True,True,True,True,none,0,6000,-2.906824459288728,0.03449312573695775,0.031158578113485075,0.8
0.35,Langevin,bin_chi2_M80,0.2869950767242191,0.2869950767259976,0.2724358972108101,0.21271195374053853,4.834577707175388,0.9407826889638594,4.703913444819297,0.7820472222222221,0.10382333333333332,0.1,0.017686222222222218,0.035372444444444436,0.949270281283997,0.7411693474575548,0.999999999993803,0.7807779955515285,2.05674493920746,4.715514580510363,4.834577707175388,0.9753725901461231,True,0.9991382425452899,73,True,True,True,True,none,0,6000,-0.5448717944216201,0.0018990871102033753,0.017623102122263756,0.8
0.4,LSC-CP,bin_chi2_M80,1.4413699858609001,1.5367906473218451,1.5255646591124803,1.1010533720689435,0.92,0.24,0.88,0.7583222222222222,0.10469166666666666,0.1,0.01881497777777777,0.03762995555555554,0.9926951740440845,0.716462827248293,0.9379091344502689,0.7217349756315786,2.025938204606856,0.9039961775810523,0.92,0.9826045408489699,True,0.9986237768081437,17,True,True,True,True,none,0,6000,-3.0511293182249606,0.02924546092827291,0.022195744261153106,0.8
0.4,Langevin,bin_chi2_M80,0.3340693486723802,0.33406934867506377,0.3181254539917641,0.25108558517006985,4.108428401032393,0.8082154231539134,3.996176258927683,0.78706,0.10287388888888888,0.1,0.01881497777777777,0.03762995555555554,0.9522736978219224,0.7515971943127623,0.999999999991967,0.7892659390171594,2.0631342984051058,4.0508580229795115,4.108428401032393,0.9859872504925692,True,0.99908708395203,72,True,True,True,True,none,0,6000,-0.6362509079835282,0.0022987574175607137,0.01794720294244625,0.8
