epsilon,metric,bias_floor_replicates,N_particles,bias_floor_mean,bias_floor_q99,bias_floor_max,threshold,threshold_above_bias_floor,threshold_rule
0.05,bin_chi2_M120,64,6000,0.020199895833333332,0.024619066666666665,0.02494666666666667,0.14,True,"max(0.14, 3 * target-only q99 floor)"
0.05,well_TV,64,6000,0.006132812499999997,0.020203333333333327,0.02083333333333326,0.075,True,"max(0.075, 3 * target-only q99 floor)"
0.05,CDF_sup,64,6000,0.011597005208333334,0.022159583333333305,0.023708333333333314,0.06647874999999992,True,"max(0.06, 3 * target-only q99 floor)"
0.05,W1,64,6000,0.013391538247338148,0.03740733024173102,0.041246718724069376,0.11222199072519307,True,"max(0.08, 3 * target-only q99 floor)"
0.045,KDE_chi2,64,6000,0.1433389986788668,0.1598671262107338,0.1629421773905909,0.47960137863220137,True,"max(0.05, 3 * target-only q99 floor)"
0.045,bin_chi2_M40,64,6000,0.006302048611111111,0.009643022222222214,0.011362222222222221,0.06,True,"max(0.06, 3 * target-only q99 floor)"
0.045,bin_chi2_M80,64,6000,0.013037986111111111,0.017831066666666662,0.018466666666666666,0.1,True,"max(0.1, 3 * target-only q99 floor)"
0.045,bin_chi2_M120,64,6000,0.020340000000000004,0.027484133333333327,0.02801333333333333,0.14,True,"max(0.14, 3 * target-only q99 floor)"
0.045,well_TV,64,6000,0.005611979166666673,0.013308333333333349,0.013833333333333364,0.075,True,"max(0.075, 3 * target-only q99 floor)"
0.045,CDF_sup,64,6000,0.010607421875000009,0.02005708333333334,0.020083333333333307,0.06017125000000002,True,"max(0.06, 3 * target-only q99 floor)"
0.045,W1,64,6000,0.012270064697667948,0.027103230450371933,0.027635367255540444,0.08130969135111579,True,"max(0.08, 3 * target-only q99 floor)"
0.04,KDE_chi2,64,6000,0.1931914193363557,0.21791761743257657,0.2232219923938706,0.6537528522977297,True,"max(0.05, 3 * target-only q99 floor)"
0.04,bin_chi2_M40,64,6000,0.006117638888888889,0.00949564444444444,0.010044444444444443,0.06,True,"max(0.06, 3 * target-only q99 floor)"
0.04,bin_chi2_M80,64,6000,0.013096388888888888,0.01894822222222222,0.019102222222222222,0.1,True,"max(0.1, 3 * target-only q99 floor)"
0.04,bin_chi2_M120,64,6000,0.019364791666666666,0.023918866666666667,0.02416666666666667,0.14,True,"max(0.14, 3 * target-only q99 floor)"
0.04,well_TV,64,6000,0.005692708333333336,0.016363333333333382,0.017833333333333368,0.075,True,"max(0.075, 3 * target-only q99 floor)"
0.04,CDF_sup,64,6000,0.01123046875,0.01942416666666669,0.019791666666666707,0.06,True,"max(0.06, 3 * target-only q99 floor)"
0.04,W1,64,6000,0.012159137056469024,0.03230024625587054,0.03352410386458973,0.09690073876761161,True,"max(0.08, 3 * target-only q99 floor)"
