method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,W2_exact_1d,MMD2_biased,MMD2_unbiased,KS,CDF_L2,W1_cdf,basin_mass_left,basin_mass_error,moment_1_error,moment_2_error,moment_3_error,moment_4_error,tamed,tame_cap,boundary_rule,mh_accept,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative,mh_accept_fraction_cumulative
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,3,10,1.6,80000.0,10.0,10.0,0.0,1.2905597062224152,0.41090833769696145,0.4106727796087032,0.4996667157249285,0.6706762522699609,0.9731178496046788,0.9995,0.49950000000000006,0.9731064172561469,0.0006238424928290964,0.9720530240300403,0.0024173367841975324,False,nan,reject,0.708375,0.0,0.0,0.7010875
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,0,11,1.76,88000.0,11.0,11.0,0.0,1.2889376327266902,0.41076108175796433,0.4105252080925157,0.5004680341105732,0.6702374810237411,0.9739857881435283,1.0,0.5,0.9739829001948093,0.0025571291537100915,0.9765918533720692,0.005921762423984789,False,nan,reject,0.712,0.0,0.0,0.7020795454545454
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,1,11,1.76,88000.0,11.0,11.0,0.0,1.2887086389975,0.41080050958696734,0.4105644892177417,0.5003406984529191,0.6703527188885912,0.974989287849107,1.0,0.5,0.9749639282399045,0.004726655592148132,0.9800555586157924,0.010676008195684372,False,nan,reject,0.712,0.0,0.0,0.7020795454545454
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,2,11,1.76,88000.0,11.0,11.0,0.0,1.2839792048874,0.4086657697094761,0.40842946548422987,0.5000235903967709,0.6676627863861343,0.9681400926076651,1.0,0.5,0.9681207478436732,0.007921295358718883,0.961416906473669,0.014607002478001618,False,nan,reject,0.712,0.0,0.0,0.7020795454545454
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,3,11,1.76,88000.0,11.0,11.0,0.0,1.284164607452402,0.40876711438826296,0.4085308986760734,0.5000154500824401,0.6677982763707743,0.9680247742092751,0.9995,0.49950000000000006,0.9680134628090222,0.007580349166121825,0.9606846237470501,0.01529717137812514,False,nan,reject,0.712,0.0,0.0,0.7020795454545454
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,0,12,1.92,96000.0,12.0,12.0,0.0,1.2843522065858477,0.409070643128694,0.4088341996146857,0.500261174016563,0.668225924669961,0.9704333561435283,1.0,0.5,0.9704319674577558,0.0032709816682536808,0.9689494052252713,0.0035504049259232895,False,nan,reject,0.705875,0.0,0.0,0.7023958333333333
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,1,12,1.92,96000.0,12.0,12.0,0.0,1.2849415085857343,0.40948076948379386,0.40924438502363925,0.5001609722493128,0.6686857671818465,0.9717475013030155,1.0,0.5,0.9717389271366356,0.0008538239204594067,0.9724254779999355,0.0010006596387283073,False,nan,reject,0.705875,0.0,0.0,0.7023958333333333
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,2,12,1.92,96000.0,12.0,12.0,0.0,1.2866802038542406,0.40949489770532443,0.40925885106373916,0.4995547415693624,0.6689998257323282,0.9702068228451934,0.9995,0.49950000000000006,0.9702003572484302,0.0040644893357878464,0.9659740230475709,0.009727273215360599,False,nan,reject,0.705875,0.0,0.0,0.7023958333333333
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,3,12,1.92,96000.0,12.0,12.0,0.0,1.2858425977989123,0.4090765584215763,0.40884022573614065,0.4999785861119728,0.6684177144567363,0.9698667768904609,0.9995,0.49950000000000006,0.9698650058833089,0.00352975178410897,0.9664793423126722,0.006992164426165681,False,nan,reject,0.705875,0.0,0.0,0.7023958333333333
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,0,13,2.08,104000.0,13.0,13.0,0.0,1.2892499004716278,0.41101654125509013,0.4107809006893224,0.500261174016563,0.6704658241447272,0.9738255861321563,1.0,0.5,0.973776035353779,0.0017390780170062348,0.9746093707191351,0.0020956370434954685,False,nan,reject,0.710375,0.0,0.0,0.7030096153846154
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,1,13,2.08,104000.0,13.0,13.0,0.0,1.2875415045199747,0.41032248725321685,0.41008684092911685,0.5005918738703414,0.6694436774015469,0.971002980654947,1.0,0.5,0.9709986177220746,0.003677125953975957,0.9666218103847682,0.00854760695613166,False,nan,reject,0.710375,0.0,0.0,0.7030096153846154
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,2,13,2.08,104000.0,13.0,13.0,0.0,1.2851645543668297,0.4087435396678786,0.40850709843085553,0.4994021723596367,0.6682232965861953,0.9694307406131741,0.9985,0.49850000000000005,0.9693932448910794,0.0041249936270773,0.9655303778795309,0.009112093647327901,False,nan,reject,0.710375,0.0,0.0,0.7030096153846154
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,3,13,2.08,104000.0,13.0,13.0,0.0,1.2890377223313807,0.4104310251890745,0.4101946363857599,0.5007428809488598,0.6703218490376553,0.9755528309538272,0.9995,0.49950000000000006,0.9755459337744761,0.0075968043234891924,0.9832889495335169,0.016002296634419655,False,nan,reject,0.710375,0.0,0.0,0.7030096153846154
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,0,14,2.24,112000.0,14.0,14.0,0.0,1.2867446303209407,0.4098576249781589,0.4096215676371284,0.5002834908980598,0.6690965981798871,0.9715090886584462,1.0,0.5,0.9714549878534929,0.00201602968361847,0.9698865401806211,0.0034334631152851403,False,nan,reject,0.710875,0.0,0.0,0.7035714285714286
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,1,14,2.24,112000.0,14.0,14.0,0.0,1.295226924501685,0.41267103196258226,0.4124357897556101,0.5002367099265426,0.6728803268265029,0.9782259221116458,1.0,0.5,0.9782130662926082,0.009671803848106175,0.9853788194916445,0.0151995465108129,False,nan,reject,0.710875,0.0,0.0,0.7035714285714286
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,2,14,2.24,112000.0,14.0,14.0,0.0,1.2795643665193104,0.40655907445691986,0.40632209848949874,0.4993193663287867,0.6654329817998088,0.9635693327054287,0.9985,0.49850000000000005,0.9635673355972398,0.014623978396762771,0.9516322424616454,0.026489039458425623,False,nan,reject,0.710875,0.0,0.0,0.7035714285714286
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,3,14,2.24,112000.0,14.0,14.0,0.0,1.2853963623657092,0.4092310337699243,0.408994580869774,0.5001284603820886,0.6685364413553418,0.9709413599458256,0.9995,0.49950000000000006,0.9709298706989788,0.0009044849194257409,0.9700519496483685,0.0007744436733088111,False,nan,reject,0.710875,0.0,0.0,0.7035714285714286
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,0,15,2.4,120000.0,15.0,15.0,0.0,1.2887950049506425,0.41056536466202986,0.41032956451904246,0.5003273850429623,0.6699756569488646,0.9728442198153924,1.0,0.5,0.9728426405748105,0.00020964716591198584,0.9727387319477835,7.555464475494933e-05,False,nan,reject,0.71075,0.0,0.0,0.70405
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,1,15,2.4,120000.0,15.0,15.0,0.0,1.290113377844159,0.41087890233746815,0.41064306667959527,0.5002238189049124,0.670598552885006,0.9744217543802194,1.0,0.5,0.9743717404140045,0.003289008464687493,0.9771455991618581,0.005510968054526111,False,nan,reject,0.71075,0.0,0.0,0.70405
