method,matrix_kind,from_state,to_state,count,probability,seed
LSC-5-shell,jump_step_phase,++,+-,446.0,0.2625073572689818,20260174
LSC-5-shell,jump_step_phase,++,++,670.0,0.39434961742201297,20260174
LSC-5-shell,jump_step_phase,--,--,421.0,0.404418828049952,20261174
LSC-5-shell,jump_step_phase,--,-+,294.0,0.2824207492795389,20261174
LSC-5-shell,jump_step_phase,--,+-,206.0,0.1978866474543708,20261174
LSC-5-shell,jump_step_phase,--,++,120.0,0.11527377521613832,20261174
LSC-5-shell,jump_step_phase,-+,--,102.0,0.28651685393258425,20261174
LSC-5-shell,jump_step_phase,-+,-+,102.0,0.28651685393258425,20261174
LSC-5-shell,jump_step_phase,-+,+-,38.0,0.10674157303370786,20261174
LSC-5-shell,jump_step_phase,-+,++,114.0,0.3202247191011236,20261174
LSC-5-shell,jump_step_phase,+-,--,120.0,0.18461538461538463,20261174
LSC-5-shell,jump_step_phase,+-,-+,56.0,0.08615384615384615,20261174
LSC-5-shell,jump_step_phase,+-,+-,257.0,0.3953846153846154,20261174
LSC-5-shell,jump_step_phase,+-,++,217.0,0.33384615384615385,20261174
LSC-5-shell,jump_step_phase,++,--,230.0,0.133954571927781,20261174
LSC-5-shell,jump_step_phase,++,-+,373.0,0.2172393709959231,20261174
LSC-5-shell,jump_step_phase,++,+-,438.0,0.25509609784507864,20261174
LSC-5-shell,jump_step_phase,++,++,676.0,0.39370995923121727,20261174
LSC-5-shell,jump_step_phase,--,--,402.0,0.41020408163265304,20262174
LSC-5-shell,jump_step_phase,--,-+,255.0,0.2602040816326531,20262174
LSC-5-shell,jump_step_phase,--,+-,188.0,0.19183673469387755,20262174
LSC-5-shell,jump_step_phase,--,++,135.0,0.1377551020408163,20262174
LSC-5-shell,jump_step_phase,-+,--,90.0,0.28662420382165604,20262174
LSC-5-shell,jump_step_phase,-+,-+,92.0,0.2929936305732484,20262174
LSC-5-shell,jump_step_phase,-+,+-,34.0,0.10828025477707007,20262174
LSC-5-shell,jump_step_phase,-+,++,98.0,0.31210191082802546,20262174
LSC-5-shell,jump_step_phase,+-,--,128.0,0.20031298904538342,20262174
LSC-5-shell,jump_step_phase,+-,-+,68.0,0.10641627543035993,20262174
LSC-5-shell,jump_step_phase,+-,+-,259.0,0.405320813771518,20262174
LSC-5-shell,jump_step_phase,+-,++,184.0,0.28794992175273865,20262174
LSC-5-shell,jump_step_phase,++,--,228.0,0.13726670680313063,20262174
LSC-5-shell,jump_step_phase,++,-+,360.0,0.21673690547862734,20262174
LSC-5-shell,jump_step_phase,++,+-,423.0,0.2546658639373871,20262174
LSC-5-shell,jump_step_phase,++,++,650.0,0.3913305237808549,20262174
LSC-complete-shell,jump_step_phase,--,--,456.0,0.41605839416058393,20260191
LSC-complete-shell,jump_step_phase,--,-+,272.0,0.24817518248175183,20260191
LSC-complete-shell,jump_step_phase,--,+-,253.0,0.23083941605839417,20260191
LSC-complete-shell,jump_step_phase,--,++,115.0,0.10492700729927007,20260191
LSC-complete-shell,jump_step_phase,-+,--,78.0,0.2422360248447205,20260191
LSC-complete-shell,jump_step_phase,-+,-+,107.0,0.33229813664596275,20260191
LSC-complete-shell,jump_step_phase,-+,+-,29.0,0.09006211180124224,20260191
LSC-complete-shell,jump_step_phase,-+,++,108.0,0.33540372670807456,20260191
LSC-complete-shell,jump_step_phase,+-,--,132.0,0.21674876847290642,20260191
LSC-complete-shell,jump_step_phase,+-,-+,42.0,0.06896551724137931,20260191
LSC-complete-shell,jump_step_phase,+-,+-,266.0,0.4367816091954023,20260191
LSC-complete-shell,jump_step_phase,+-,++,169.0,0.277504105090312,20260191
LSC-complete-shell,jump_step_phase,++,--,178.0,0.10768300060496068,20260191
LSC-complete-shell,jump_step_phase,++,-+,438.0,0.26497277676951,20260191
