step,t,n_potential_only,n_potential_baseline,n_force_only,n_value_and_force,n_structured_extra_chord_units,n_structured_extra_particle_calls,n_force,n_extra_potential,n_extra_potential_equivalent,rho,n_fee,fee_calibration_hash,fee_cost_unit,n_force_per_particle,n_extra_potential_equivalent_per_particle,n_fee_per_particle
1081,5.405,276736000,0,8648000,0,0,0,8648000,276736000,276736000.0,0.8345679289892053,239602990.3967567,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,1081.0,34592.0,29950.37379959459
1111,5.555,284416000,0,8888000,0,0,0,8888000,284416000,284416000.0,0.8345679289892053,246252472.0913938,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,1111.0,35552.0,30781.559011424226
1141,5.705,292096000,0,9128000,0,0,0,9128000,292096000,292096000.0,0.8345679289892053,252901953.78603092,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,1141.0,36512.0,31612.744223253863
1170,5.8500000000000005,299520000,0,9360000,0,0,0,9360000,299520000,299520000.0,0.8345679289892053,259329786.09084678,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,1170.0,37440.0,32416.223261355848
1200,6.0,307200000,0,9600000,0,0,0,9600000,307200000,307200000.0,0.8345679289892053,265979267.78548387,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,1200.0,38400.0,33247.40847318548
1230,6.15,314880000,0,9840000,0,0,0,9840000,314880000,314880000.0,0.8345679289892053,272628749.48012096,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,1230.0,39360.0,34078.59368501512
1259,6.295,322304000,0,10072000,0,0,0,10072000,322304000,322304000.0,0.8345679289892053,279056581.78493685,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,1259.0,40288.0,34882.072723117104
1289,6.445,329984000,0,10312000,0,0,0,10312000,329984000,329984000.0,0.8345679289892053,285706063.4795739,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,1289.0,41248.0,35713.25793494674
1319,6.595,337664000,0,10552000,0,0,0,10552000,337664000,337664000.0,0.8345679289892053,292355545.174211,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,1319.0,42208.0,36544.44314677638
1348,6.74,345088000,0,10784000,0,0,0,10784000,345088000,345088000.0,0.8345679289892053,298783377.47902685,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,1348.0,43136.0,37347.922184878356
1378,6.890000000000001,352768000,0,11024000,0,0,0,11024000,352768000,352768000.0,0.8345679289892053,305432859.173664,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,1378.0,44096.0,38179.107396707994
1408,7.04,360448000,0,11264000,0,0,0,11264000,360448000,360448000.0,0.8345679289892053,312082340.8683011,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,1408.0,45056.0,39010.29260853764
1438,7.19,368128000,0,11504000,0,0,0,11504000,368128000,368128000.0,0.8345679289892053,318731822.56293815,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,1438.0,46016.0,39841.47782036727
1467,7.335,375552000,0,11736000,0,0,0,11736000,375552000,375552000.0,0.8345679289892053,325159654.86775404,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,1467.0,46944.0,40644.95685846925
1497,7.485,383232000,0,11976000,0,0,0,11976000,383232000,383232000.0,0.8345679289892053,331809136.5623911,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,1497.0,47904.0,41476.14207029889
1527,7.635,390912000,0,12216000,0,0,0,12216000,390912000,390912000.0,0.8345679289892053,338458618.2570282,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,1527.0,48864.0,42307.32728212853
1556,7.78,398336000,0,12448000,0,0,0,12448000,398336000,398336000.0,0.8345679289892053,344886450.56184405,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,1556.0,49792.0,43110.806320230506
1586,7.930000000000001,406016000,0,12688000,0,0,0,12688000,406016000,406016000.0,0.8345679289892053,351535932.2564812,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,1586.0,50752.0,43941.99153206014
1616,8.08,413696000,0,12928000,0,0,0,12928000,413696000,413696000.0,0.8345679289892053,358185413.9511183,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,1616.0,51712.0,44773.17674388979
1645,8.225,421120000,0,13160000,0,0,0,13160000,421120000,421120000.0,0.8345679289892053,364613246.2559341,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,1645.0,52640.0,45576.655781991765
1675,8.375,428800000,0,13400000,0,0,0,13400000,428800000,428800000.0,0.8345679289892053,371262727.95057124,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,1675.0,53600.0,46407.8409938214
1705,8.525,436480000,0,13640000,0,0,0,13640000,436480000,436480000.0,0.8345679289892053,377912209.6452083,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,1705.0,54560.0,47239.02620565104
1734,8.67,443904000,0,13872000,0,0,0,13872000,443904000,443904000.0,0.8345679289892053,384340041.9500242,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,1734.0,55488.0,48042.505243753025
1764,8.82,451584000,0,14112000,0,0,0,14112000,451584000,451584000.0,0.8345679289892053,390989523.6446613,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,1764.0,56448.0,48873.69045558266
1794,8.97,459264000,0,14352000,0,0,0,14352000,459264000,459264000.0,0.8345679289892053,397639005.33929837,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,1794.0,57408.0,49704.87566741229
1823,9.115,466688000,0,14584000,0,0,0,14584000,466688000,466688000.0,0.8345679289892053,404066837.64411426,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,1823.0,58336.0,50508.354705514284
1853,9.265,474368000,0,14824000,0,0,0,14824000,474368000,474368000.0,0.8345679289892053,410716319.3387513,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,1853.0,59296.0,51339.539917343915
1883,9.415000000000001,482048000,0,15064000,0,0,0,15064000,482048000,482048000.0,0.8345679289892053,417365801.03338844,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,1883.0,60256.0,52170.72512917355
1912,9.56,489472000,0,15296000,0,0,0,15296000,489472000,489472000.0,0.8345679289892053,423793633.33820426,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,1912.0,61184.0,52974.20416727553
1942,9.71,497152000,0,15536000,0,0,0,15536000,497152000,497152000.0,0.8345679289892053,430443115.0328414,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,1942.0,62144.0,53805.389379105174
1972,9.86,504832000,0,15776000,0,0,0,15776000,504832000,504832000.0,0.8345679289892053,437092596.7274785,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,1972.0,63104.0,54636.57459093481
2002,10.01,512512000,0,16016000,0,0,0,16016000,512512000,512512000.0,0.8345679289892053,443742078.42211556,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,2002.0,64064.0,55467.75980276445
2031,10.155,519936000,0,16248000,0,0,0,16248000,519936000,519936000.0,0.8345679289892053,450169910.72693145,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,2031.0,64992.0,56271.238840866434
2061,10.305,527616000,0,16488000,0,0,0,16488000,527616000,527616000.0,0.8345679289892053,456819392.4215685,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,2061.0,65952.0,57102.424052696064
2091,10.455,535296000,0,16728000,0,0,0,16728000,535296000,535296000.0,0.8345679289892053,463468874.11620563,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,2091.0,66912.0,57933.6092645257
2120,10.6,542720000,0,16960000,0,0,0,16960000,542720000,542720000.0,0.8345679289892053,469896706.4210215,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,2120.0,67840.0,58737.08830262769
2150,10.75,550400000,0,17200000,0,0,0,17200000,550400000,550400000.0,0.8345679289892053,476546188.1156586,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,2150.0,68800.0,59568.27351445732
2180,10.9,558080000,0,17440000,0,0,0,17440000,558080000,558080000.0,0.8345679289892053,483195669.8102957,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,2180.0,69760.0,60399.45872628696
2209,11.045,565504000,0,17672000,0,0,0,17672000,565504000,565504000.0,0.8345679289892053,489623502.11511153,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,2209.0,70688.0,61202.93776438894
2239,11.195,573184000,0,17912000,0,0,0,17912000,573184000,573184000.0,0.8345679289892053,496272983.80974865,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,2239.0,71648.0,62034.12297621858
2269,11.345,580864000,0,18152000,0,0,0,18152000,580864000,580864000.0,0.8345679289892053,502922465.50438577,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,2269.0,72608.0,62865.30818804822
2298,11.49,588288000,0,18384000,0,0,0,18384000,588288000,588288000.0,0.8345679289892053,509350297.8092016,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,2298.0,73536.0,63668.7872261502
