experiment,method,seed,time,KDE_bandwidth,KDE_integral,KDE_integral_before_grid_renormalization,KDE_tail_mass_outside_plot,L1_density_error,L2_density_error,truncated_KDE_chi2,KDE_CDF_sup_error,empirical_CDF_sup_error,KDE_vs_empirical_CDF_sup,chi_interval_left,chi_interval_right,chi_omitted_target_mass,chi_target_density_min,quadrature
triple-well,LSC-overlong,2,3.3075,0.09199214785700836,1.0,1.0000000000000302,0.0,0.07876842954284066,0.0011683758072906832,0.009699562071615018,0.010950316089345768,0.010931784357594232,0.006067527490031255,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.3222,0.09199214785700836,1.0,1.0000000000000302,0.0,0.0787066168931698,0.0011181353975329206,0.009967291560939565,0.01117330940757627,0.011670881137974265,0.005867979941092449,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.3369,0.09199214785700836,0.9999999999999999,1.0000000000000302,0.0,0.07716213046303305,0.0012306831537066763,0.009511088187012757,0.014665694716189004,0.014657938988692387,0.00607779439266104,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.3516,0.09199214785700836,0.9999999999999998,1.0000000000000302,0.0,0.08231054894461376,0.0014073062468993773,0.01030864787646314,0.014718505868136889,0.016348451024260913,0.007357481670465904,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.3663,0.09199214785700836,1.0,1.0000000000000302,0.0,0.07586798665955978,0.0010525284977325475,0.009263506875071457,0.013843345896664139,0.015119047525318396,0.005720405193129441,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.381,0.09199214785700836,0.9999999999999999,1.0000000000000302,0.0,0.07779183626520758,0.001081289805787553,0.00937549768319339,0.014614126970843966,0.015931784357594236,0.00653969644485175,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.3957,0.09199214785700836,0.9999999999999999,1.0000000000000302,0.0,0.08229154606687286,0.0011492591359754966,0.010416617540704078,0.014836378074419065,0.015556310687466046,0.006267059665871266,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.4104,0.09199214785700836,0.9999999999999999,1.0000000000000302,0.0,0.08176823648058376,0.0011248780161613233,0.009542493302192671,0.016780661637602556,0.01803571419198502,0.0064052848757049086,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.4251,0.09199214785700836,0.9999999999999999,1.0000000000000302,0.0,0.09139034628407258,0.001472232519540072,0.013292310429233746,0.017967623255366993,0.019360492170521215,0.0068752636675170065,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.4398,0.09199214785700836,0.9999999999999998,1.0000000000000302,0.0,0.09554054495286379,0.0015195726010740819,0.014583919909558683,0.019241067891171026,0.019577888048572523,0.0072374773887307065,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,LSC-overlong,2,3.4545,0.09199214785700836,1.0,1.0000000000000302,0.0,0.0826682828900788,0.0011848503054641918,0.01155220449027719,0.018234419131024526,0.018421501965227516,0.006032362957414494,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
