experiment,method,seed,time,KDE_bandwidth,histogram_integral,KDE_integral,KDE_tail_mass_outside_plot,KDE_vs_histogram_bin_mass_L1,sample_count
triple-well,LSC-overlong,1,1.6464,0.09199214785700836,1.0,1.0,0.0,0.041923200090342796,2400
triple-well,LSC-overlong,1,1.6611,0.09199214785700836,1.0,1.0,0.0,0.03673089498488141,2400
triple-well,LSC-overlong,1,1.6758,0.09199214785700836,1.0,1.0,0.0,0.03622536107314794,2400
triple-well,LSC-overlong,1,1.6905,0.09199214785700836,1.0,0.9999999999999999,0.0,0.04455693855726623,2400
triple-well,LSC-overlong,1,1.7052,0.09199214785700836,1.0,0.9999999999999998,0.0,0.030319567507103663,2400
triple-well,LSC-overlong,1,1.7199,0.09199214785700836,1.0,0.9999999999999999,0.0,0.028311044539079757,2400
triple-well,LSC-overlong,1,1.7346,0.09199214785700836,1.0,0.9999999999999999,0.0,0.03675355081110285,2400
triple-well,LSC-overlong,1,1.7493,0.09199214785700836,1.0,0.9999999999999999,0.0,0.0385109543352931,2400
triple-well,LSC-overlong,1,1.764,0.09199214785700836,1.0,0.9999999999999998,0.0,0.040452123777745784,2400
triple-well,LSC-overlong,1,1.7787,0.09199214785700836,1.0,1.0,0.0,0.03979011834996239,2400
triple-well,LSC-overlong,1,1.7933999999999999,0.09199214785700836,0.9999999999999999,1.0,0.0,0.030194592672371123,2400
triple-well,LSC-overlong,1,1.8081,0.09199214785700836,1.0,1.0,0.0,0.03493644800492668,2400
triple-well,LSC-overlong,1,1.8228,0.09199214785700836,1.0,1.0,0.0,0.0341165321338361,2400
triple-well,LSC-overlong,1,1.8375,0.09199214785700836,1.0,0.9999999999999999,0.0,0.049396818834006734,2400
triple-well,LSC-overlong,1,1.8522,0.09199214785700836,1.0,1.0,0.0,0.03945891417504649,2400
triple-well,LSC-overlong,1,1.8669,0.09199214785700836,1.0,1.0,0.0,0.03738022549640377,2400
triple-well,LSC-overlong,1,1.8816,0.09199214785700836,1.0,0.9999999999999998,0.0,0.03760903029918261,2400
triple-well,LSC-overlong,1,1.8962999999999999,0.09199214785700836,1.0,0.9999999999999999,0.0,0.035283877913580716,2400
triple-well,LSC-overlong,1,1.911,0.09199214785700836,1.0,1.0,0.0,0.032545250038426406,2400
triple-well,LSC-overlong,1,1.9257,0.09199214785700836,1.0,1.0,0.0,0.03671782821280309,2400
triple-well,LSC-overlong,1,1.9404,0.09199214785700836,1.0,1.0,0.0,0.03315862432826436,2400
triple-well,LSC-overlong,1,1.9551,0.09199214785700836,1.0,1.0,0.0,0.03828409638784698,2400
triple-well,LSC-overlong,1,1.9698,0.09199214785700836,1.0,0.9999999999999998,0.0,0.03916270544605534,2400
triple-well,LSC-overlong,1,1.9845,0.09199214785700836,1.0,1.0,0.0,0.034180772827200834,2400
triple-well,LSC-overlong,1,1.9992,0.09199214785700836,1.0,1.0,0.0,0.040676571995491774,2400
triple-well,LSC-overlong,1,2.0139,0.09199214785700836,1.0,0.9999999999999999,0.0,0.03608934230410217,2400
triple-well,LSC-overlong,1,2.0286,0.09199214785700836,1.0,1.0,0.0,0.03541277159672918,2400
triple-well,LSC-overlong,1,2.0433,0.09199214785700836,1.0,0.9999999999999998,0.0,0.040467567213335255,2400
